serial_no,height,fold,temp_2023,temp_2022,temp_2021,temp_avg,Pop_500,Green_400,Ag_500,Trans_5000,Resi_100,Comm_400,Ind_1100,Cul_2500,Pub_4700,GFA_5000,BCR,SD_H,Altitude,Slope,Longitude,Latitude,Solar_radi
V02Q1940293,4.0,3.0,27.7879949295,26.9938466626,27.9032188876,27.5616868265,17203,25725,0,4737375,13100,153800,0,79925,822425,70421400.0,37.8005981445,4.05096006393,19.5030994415,0.577376008034,127.0484893,37.47640069,498.338012695
V02Q1940060,3.0,10.0,26.8681448413,26.2054272271,26.784100082,26.6192240501,15359,106775,5225,6040300,19850,4575,0,81175,1058075,73745000.0,14.2306003571,2.12132000923,43.5917015076,2.05613994598,127.0862339,37.48339724,492.959991455
V02Q1940079,3.4,8.0,27.538742284,26.3984424603,27.7485744194,27.2285863879,14755,83025,0,6428050,21275,10600,0,174700,1026775,88428100.0,44.8446006775,5.07445001602,20.0352993011,0.876542985439,127.0822094,37.49410245,497.868011475
V02Q1940123,3.6,12.0,26.8142835097,26.5861817503,27.3436312915,26.9146988505,25390,27200,0,6296475,9225,54600,0,130625,977300,94209400.0,13.6892004013,70.0036010742,13.4335002899,0.461941987276,127.0618427,37.49489912,499.571990967
V02Q1940246,3.0,10.0,26.192202381,25.6825740155,26.2623003694,26.0456922553,6883,163525,0,6283825,0,18425,0,194200,1093225,96830000.0,0.0,0.0,8.51333999634,3.33610010147,127.0727253,37.49937086,497.459991455
V02Q1940178,3.9,13.0,27.6400099206,26.6659638587,27.4987190009,27.2682309267,11872,22650,0,6014400,6750,89375,0,76825,1027000,99457100.0,39.8282012939,3.86190009117,16.5133991241,1.01579999924,127.0194561,37.52105313,499.165985107
V02Q1940161,3.9,11.0,28.5094257055,26.8013324022,27.6100222578,27.6402601218,7196,26775,0,6270725,3850,284350,0,51125,1604250,103646000.0,46.7462005615,10.6701002121,18.3600997925,0.37398698926,127.0374614,37.52634275,499.817993164
V02Q1940152,3.5,11.0,27.4009810406,26.7389322175,27.3842267224,27.1747133268,8323,90425,0,6328000,37050,119575,0,87575,1144175,99849000.0,41.5876998901,2.90541005135,35.762298584,3.2530400753,127.0457279,37.50653959,499.447998047
V02Q1940175,3.8,17.0,27.3228130511,26.520243915,27.3692172257,27.070758064,5326,91175,0,6557475,23075,85975,0,55275,1575450,108856000.0,43.2300987244,6.04077005386,34.0318984985,5.04940986633,127.0467992,37.52778814,499.618988037
V02Q1940149,3.8,18.0,27.3336496914,26.4365438265,27.1169444444,26.9623793208,12495,80275,0,5482950,3925,118750,0,109450,892300,84014000.0,29.7063999176,4.44706010818,18.1508998871,1.60949003696,127.044068,37.48506055,501.113006592
